state,state_code,racetype,election_year,incumbent,incumbent_party,incumbent_retiring,hete_democrat,hete_republican,democrat_1,democrat_1_probability,democrat_2,democrat_2_probability,democrat_3,democrat_3_probability,democrat_4,democrat_4_probability,democrat_5,democrat_5_probability,democrat_6,democrat_6_probability,republican_1,republican_1_probability,republican_2,republican_2_probability,republican_3,republican_3_probability,republican_4,republican_4_probability,republican_5,republican_5_probability,republican_6,republican_6_probability,independent_1,independent_2,independent_3,independent_4
Oklahoma,OK,senate_3,2028,Republican James Lankford,R,,A Democratic Candidate,Republican James Lankford,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican James Lankford,0.9,,,,,,,,,,,,
Oregon,OR,senate_3,2028,Democrat Ron Wyden,D,,Democrat Ron Wyden,A Republican Candidate,A Democratic Candidate,0.1,Democrat Ron Wyden,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Pennsylvania,PA,senate_3,2028,Democrat John Fetterman,D,,Democrat John Fetterman,A Republican Candidate,A Democratic Candidate,0.1,Democrat John Fetterman,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
South Carolina,SC,senate_3,2028,Republican Tim Scott,R,,A Democratic Candidate,Republican Tim Scott,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Tim Scott,0.9,,,,,,,,,,,,
South Dakota,SD,senate_3,2028,Republican John Thune,R,,A Democratic Candidate,Republican John Thune,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican John Thune,0.9,,,,,,,,,,,,
Utah,UT,senate_3,2028,Republican Mike Lee,R,,A Democratic Candidate,Republican Mike Lee,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Mike Lee,0.9,,,,,,,,,,,,
Vermont,VT,senate_3,2028,Democrat Peter Welch,D,,Democrat Peter Welch,A Republican Candidate,A Democratic Candidate,0.1,Democrat Peter Welch,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Washington,WA,senate_3,2028,Democrat Patty Murray,D,,Democrat Patty Murray,A Republican Candidate,A Democratic Candidate,0.1,Democrat Patty Murray,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Wisconsin,WI,senate_3,2028,Republican Ron Johnson,R,,A Democratic Candidate,Republican Ron Johnson,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Ron Johnson,0.9,,,,,,,,,,,,
Arizona,AZ,senate_1,2024,Democrat Kyrsten Sinema,D,,Democrat Kyrsten Sinema,A Republican Candidate,A Democratic Candidate,0.1,Democrat Kyrsten Sinema,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
California,CA,senate_1,2024,Democrat Dianne Feinstein,D,,Democrat Dianne Feinstein,A Republican Candidate,A Democratic Candidate,0.1,Democrat Dianne Feinstein,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Connecticut,CT,senate_1,2024,Democrat Chris Murphy,D,,Democrat Chris Murphy,A Republican Candidate,A Democratic Candidate,0.1,Democrat Chris Murphy,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Delaware,DE,senate_1,2024,Democrat Tom Carper,D,,Democrat Tom Carper,A Republican Candidate,A Democratic Candidate,0.1,Democrat Tom Carper,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Florida,FL,senate_1,2024,Republican Rick Scott,R,,A Democratic Candidate,Republican Rick Scott,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Rick Scott,0.9,,,,,,,,,,,,
Hawaii,HI,senate_1,2024,Democrat Mazie Hirono,D,,Democrat Mazie Hirono,A Republican Candidate,A Democratic Candidate,0.1,Democrat Mazie Hirono,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Indiana,IN,senate_1,2024,Republican Mike Braun,R,1,A Democratic Candidate,A Republican Candidate,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Maine,ME,senate_1,2024,Independent Angus King,D,,Independent Angus King,A Republican Candidate,A Democratic Candidate,0.1,Independent Angus King,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Maryland,MD,senate_1,2024,Democrat Ben Cardin,D,,Democrat Ben Cardin,A Republican Candidate,A Democratic Candidate,0.1,Democrat Ben Cardin,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Massachusetts,MA,senate_1,2024,Democrat Elizabeth Warren,D,,Democrat Elizabeth Warren,A Republican Candidate,A Democratic Candidate,0.1,Democrat Elizabeth Warren,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Michigan,MI,senate_1,2024,Democrat Debbie Stabenow,D,,Democrat Debbie Stabenow,A Republican Candidate,A Democratic Candidate,0.1,Democrat Debbie Stabenow,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Minnesota,MN,senate_1,2024,Democrat Amy Klobuchar,D,,Democrat Amy Klobuchar,A Republican Candidate,A Democratic Candidate,0.1,Democrat Amy Klobuchar,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Mississippi,MS,senate_1,2024,Republican Roger Wicker,R,,A Democratic Candidate,Republican Roger Wicker,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Roger Wicker,0.9,,,,,,,,,,,,
Missouri,MO,senate_1,2024,Republican Josh Hawley,R,,A Democratic Candidate,Republican Josh Hawley,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Josh Hawley,0.9,,,,,,,,,,,,
Montana,MT,senate_1,2024,Democrat Jon Tester,D,,Democrat Jon Tester,A Republican Candidate,A Democratic Candidate,0.1,Democrat Jon Tester,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Nebraska,NE,senate_1,2024,Republican Deb Fischer,R,,A Democratic Candidate,Republican Deb Fischer,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Deb Fischer,0.9,,,,,,,,,,,,
Nevada,NV,senate_1,2024,Democrat Jacky Rosen,D,,Democrat Jacky Rosen,A Republican Candidate,A Democratic Candidate,0.1,Democrat Jacky Rosen,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
New Jersey,NJ,senate_1,2024,Democrat Bob Menendez,D,,Democrat Bob Menendez,A Republican Candidate,A Democratic Candidate,0.1,Democrat Bob Menendez,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
New Mexico,NM,senate_1,2024,Democrat Martin Heinrich,D,,Democrat Martin Heinrich,A Republican Candidate,A Democratic Candidate,0.1,Democrat Martin Heinrich,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
New York,NY,senate_1,2024,Democrat Kirsten Gillibrand,D,,Democrat Kirsten Gillibrand,A Republican Candidate,A Democratic Candidate,0.1,Democrat Kirsten Gillibrand,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
North Dakota,ND,senate_1,2024,Republican Kevin Cramer,R,,A Democratic Candidate,Republican Kevin Cramer,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Kevin Cramer,0.9,,,,,,,,,,,,
Ohio,OH,senate_1,2024,Democrat Sherrod Brown,D,,Democrat Sherrod Brown,A Republican Candidate,A Democratic Candidate,0.1,Democrat Sherrod Brown,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Pennsylvania,PA,senate_1,2024,Democrat Bob Casey Jr.,D,,Democrat Bob Casey Jr.,A Republican Candidate,A Democratic Candidate,0.1,Democrat Bob Casey Jr.,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
