state,state_code,racetype,election_year,incumbent,incumbent_party,incumbent_retiring,hete_democrat,hete_republican,democrat_1,democrat_1_probability,democrat_2,democrat_2_probability,democrat_3,democrat_3_probability,democrat_4,democrat_4_probability,democrat_5,democrat_5_probability,democrat_6,democrat_6_probability,republican_1,republican_1_probability,republican_2,republican_2_probability,republican_3,republican_3_probability,republican_4,republican_4_probability,republican_5,republican_5_probability,republican_6,republican_6_probability,independent_1,independent_2,independent_3,independent_4
Hawaii,HI,governor,2026,Democrat Josh Green,D,,Democrat Josh Green,A Republican Candidate,A Democratic Candidate,0.1,Democrat Josh Green,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Idaho,ID,governor,2026,Republican Brad Little,R,,A Democratic Candidate,Republican Brad Little,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Brad Little,0.9,,,,,,,,,,,,
Illinois,IL,governor,2026,Democrat J.B. Pritzker,D,,Democrat J.B. Pritzker,A Republican Candidate,A Democratic Candidate,0.1,Democrat J.B. Pritzker,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Indiana,IN,governor,2024,Republican Eric Holcomb,R,1,A Democratic Candidate,A Republican Candidate,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Iowa,IA,governor,2026,Republican Kim Reynolds,R,,A Democratic Candidate,Republican Kim Reynolds,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Kim Reynolds,0.9,,,,,,,,,,,,
Kansas,KS,governor,2026,Democrat Laura Kelly,D,1,A Democratic Candidate,A Republican Candidate,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Kentucky,KY,governor,2023,Democrat Andy Beshear,D,,Democrat Andy Beshear,A Republican Candidate,A Democratic Candidate,0.1,Democrat Andy Beshear,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Louisiana,LA,governor,2023,Democrat John Bel Edwards,D,1,A Democratic Candidate,A Republican Candidate,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.6,Republican Jeff Landry,0.25,Republican Billy Nungesser,0.15,,,,,,,,,,
Maine,ME,governor,2026,Democrat Janet Mills,D,1,A Democratic Candidate,A Republican Candidate,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Maryland,MD,governor,2026,Democrat Wes Moore,D,,Democrat Wes Moore,A Republican Candidate,A Democratic Candidate,0.1,Democrat Wes Moore,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Massachusetts,MA,governor,2026,Democrat Maura Healey,R,,Democrat Maura Healey,A Republican Candidate,A Democratic Candidate,0.1,Democrat Maura Healey,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Michigan,MI,governor,2026,Democrat Gretchen Whitmer,D,1,A Democratic Candidate,A Republican Candidate,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Minnesota,MN,governor,2026,Democrat Tim Walz,D,,Democrat Tim Walz,A Republican Candidate,A Democratic Candidate,0.1,Democrat Tim Walz,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Mississippi,MS,governor,2023,Republican Tate Reeves,R,,A Democratic Candidate,Republican Tate Reeves,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Tate Reeves,0.9,,,,,,,,,,,,
Missouri,MO,governor,2024,Republican Mike Parson,R,1,A Democratic Candidate,A Republican Candidate,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Montana,MT,governor,2024,Republican Greg Gianforte,R,,A Democratic Candidate,Republican Greg Gianforte,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Greg Gianforte,0.9,,,,,,,,,,,,
Nebraska,NE,governor,2026,Republican Jim Pillen,R,,A Democratic Candidate,Republican Jim Pillen,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Jim Pillen,0.9,,,,,,,,,,,,
Nevada,NV,governor,2026,Republican Joe Lombardo,R,,A Democratic Candidate,Republican Joe Lombardo,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Joe Lombardo,0.9,,,,,,,,,,,,
New Hampshire,NH,governor,2024,Republican Chris Sununu,R,,A Democratic Candidate,Republican Chris Sununu,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Chris Sununu,0.9,,,,,,,,,,,,
New Jersey,NJ,governor,2025,Democrat Phil Murphy,D,1,A Democratic Candidate,A Republican Candidate,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
New Mexico,NM,governor,2026,Democrat Michelle Lujan Grisham,D,1,A Democratic Candidate,A Republican Candidate,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
New York,NY,governor,2026,Democrat Kathy Hochul,D,,Democrat Kathy Hochul,A Republican Candidate,A Democratic Candidate,0.1,Democrat Kathy Hochul,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
North Carolina,NC,governor,2024,Democrat Roy Cooper,D,1,A Democratic Candidate,A Republican Candidate,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
North Dakota,ND,governor,2024,Republican Doug Burgum,R,,A Democratic Candidate,Republican Doug Burgum,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Doug Burgum,0.9,,,,,,,,,,,,
Ohio,OH,governor,2026,Republican Mike DeWine,R,1,A Democratic Candidate,A Republican Candidate,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Oklahoma,OK,governor,2026,Republican Kevin Stitt,R,1,A Democratic Candidate,A Republican Candidate,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Oregon,OR,governor,2026,Democrat Tina Kotek,D,,Democrat Tina Kotek,A Republican Candidate,A Democratic Candidate,0.1,Democrat Tina Kotek,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Pennsylvania,PA,governor,2026,Democrat Josh Shapiro,D,,Democrat Josh Shapiro,A Republican Candidate,A Democratic Candidate,0.1,Democrat Josh Shapiro,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Rhode Island,RI,governor,2026,Democrat Daniel McKee,D,,Democrat Daniel McKee,A Republican Candidate,A Democratic Candidate,0.1,Democrat Daniel McKee,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
South Carolina,SC,governor,2026,Republican Henry McMaster,R,1,A Democratic Candidate,A Republican Candidate,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
South Dakota,SD,governor,2026,Republican Kristi Noem,R,1,A Democratic Candidate,A Republican Candidate,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Tennessee,TN,governor,2026,Republican Bill Lee,R,1,A Democratic Candidate,A Republican Candidate,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Texas,TX,governor,2026,Republican Greg Abbott,R,,A Democratic Candidate,Republican Greg Abbott,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Greg Abbott,0.9,,,,,,,,,,,,
Utah,UT,governor,2024,Republican Spencer Cox,R,,A Democratic Candidate,Republican Spencer Cox,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Spencer Cox,0.9,,,,,,,,,,,,
Vermont,VT,governor,2024,Republican Phil Scott,R,,A Democratic Candidate,Republican Phil Scott,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Phil Scott,0.9,,,,,,,,,,,,
Virginia,VA,governor,2025,Republican Glenn Youngkin,R,1,A Democratic Candidate,A Republican Candidate,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Washington,WA,governor,2024,Democrat Jay Inslee,D,,Democrat Jay Inslee,A Republican Candidate,A Democratic Candidate,0.1,Democrat Jay Inslee,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
West Virginia,WV,governor,2024,Republican Jim Justice,R,1,A Democratic Candidate,A Republican Candidate,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Wisconsin,WI,governor,2026,Democrat Tony Evers,D,,Democrat Tony Evers,A Republican Candidate,A Democratic Candidate,0.1,Democrat Tony Evers,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Wyoming,WY,governor,2026,Republican Mark Gordon,R,1,A Democratic Candidate,A Republican Candidate,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
